recovered,total_hospitalized,deaths,date,hospitalized_today,active,district,isolation,observation,confirmed
68332,1431,279,2020-12-20,138,8076,Ernakulam,27826,29257,76698
4975,1711,38,2020-9-6,208,2341,Ernakulam,18646,20357,7361
18057,2451,99,2020-10-13,206,11987,Ernakulam,30755,33206,30151
,1239,,2020-8-6,96,1147,Ernakulam,11152,12391,
45606,2035,186,2020-11-13,224,9895,Ernakulam,29985,32020,55698
3440,1463,33,2020-8-27,171,1895,Ernakulam,16604,18067,5375
9830,2568,61,2020-9-27,322,5881,Ernakulam,21356,23924,15780
5584,1752,43,2020-9-10,190,2678,Ernakulam,20637,22389,8312
,1237,,2020-8-10,61,1211,Ernakulam,11099,12336,
41228,2325,175,2020-11-8,154,11046,Ernakulam,29405,31730,52460
13439,2979,80,2020-10-8,526,11692,Ernakulam,29057,32036,25219
82095,1346,342,2021-1-11,51,8650,Ernakulam,20714,22060,91105
93008,1582,376,2021-1-26,221,10450,Ernakulam,26656,28238,103858
79445,1388,330,2021-1-7,187,8619,Ernakulam,25550,26938,88411
63636,1248,262,2020-12-12,78,7885,Ernakulam,28745,29993,71794
25612,2427,116,2020-10-21,209,11206,Ernakulam,29701,32128,36943
51184,1567,200,2020-11-21,111,9205,Ernakulam,26807,28374,60600
,20,,2020-5-1,5,0,Ernakulam,811,831,
,37,,2020-4-1,7,17,Ernakulam,4590,4627,
,13,,2020-4-20,3,2,Ernakulam,173,186,
,44,,2020-5-20,8,10,Ernakulam,6621,6665,
,32,,2020-5-17,8,6,Ernakulam,5353,5385,
,19,,2020-4-17,3,2,Ernakulam,677,696,
,35,,2020-3-27,10,15,Ernakulam,3884,3919,
,23,,2020-3-10,6,0,Ernakulam,225,248,
,89,,2020-5-31,9,29,Ernakulam,13188,13277,
,2,,2020-3-6,13,0,Ernakulam,129,131,
73306,1213,302,2020-12-29,113,8306,Ernakulam,29119,30332,81926
,170,,2020-6-21,20,122,Ernakulam,12852,13022,
,827,,2020-7-21,72,909,Ernakulam,12981,13808,
,508,,2020-7-16,78,528,Ernakulam,14788,15296,
,119,,2020-6-16,14,95,Ernakulam,11995,12114,
10755,2899,69,2020-10-1,237,8334,Ernakulam,23429,26328,19166
33974,2311,151,2020-11-1,140,12651,Ernakulam,29916,32227,46787
101688,1398,392,2021-2-6,147,10377,Ernakulam,24380,25778,112483
55588,1534,219,2020-11-28,152,8626,Ernakulam,26594,28128,64444
104412,1328,396,2021-2-10,147,10064,Ernakulam,23751,25079,114898
30972,2194,140,2020-10-28,166,12034,Ernakulam,30209,32403,43155
,646,,2020-7-18,123,680,Ernakulam,14117,14763,
,152,,2020-6-18,17,102,Ernakulam,12032,12184,
60950,1303,245,2020-12-7,58,7647,Ernakulam,24806,26109,68853
,26,,2020-5-2,11,0,Ernakulam,833,859,
,35,,2020-4-2,1,17,Ernakulam,3843,3878,
,36,,2020-5-14,12,4,Ernakulam,2748,2784,
,28,,2020-4-14,4,5,Ernakulam,1629,1657,
,13,,2020-4-23,5,2,Ernakulam,139,152,
,61,,2020-5-23,25,9,Ernakulam,8169,8230,
103041,1360,394,2021-2-8,75,10011,Ernakulam,23350,24710,113472
92127,1586,369,2021-1-25,130,10473,Ernakulam,26746,28332,102992
82611,1351,343,2021-1-12,158,8946,Ernakulam,21291,22642,91918
76996,1305,321,2021-1-4,245,8628,Ernakulam,24962,26267,85961
39373,1403,170,2020-11-6,166,11220,Ernakulam,16033,17436,50774
4790,1654,38,2020-9-5,277,2245,Ernakulam,18009,19663,7080
12347,2876,79,2020-10-6,202,11193,Ernakulam,27891,30767,23627
,1261,,2020-8-5,165,1220,Ernakulam,12002,13263,
,29,,2020-3-29,6,14,Ernakulam,5701,5730,
,6,,2020-3-8,0,0,Ernakulam,141,147,
6112,1841,48,2020-9-13,276,2954,Ernakulam,21437,23278,9121
,1213,,2020-8-13,143,1360,Ernakulam,12554,13767,
3074,1364,33,2020-8-24,257,1765,Ernakulam,15954,17318,4879
8922,2224,56,2020-9-24,254,4486,Ernakulam,20372,22596,13472
94539,1502,377,2021-1-28,150,10581,Ernakulam,25997,27499,105521
80892,1364,337,2021-1-9,145,8766,Ernakulam,26344,27708,90012
100998,1351,392,2021-2-5,163,10169,Ernakulam,24465,25816,111585
106624,1226,402,2021-2-13,120,9813,Ernakulam,23905,25131,116865
,42,,2020-5-19,16,8,Ernakulam,6251,6293,
,18,,2020-4-19,2,2,Ernakulam,210,228,
,470,,2020-7-15,69,475,Ernakulam,14411,14881,
,121,,2020-6-15,11,83,Ernakulam,11637,11758,
,173,,2020-6-22,14,127,Ernakulam,12687,12860,
,913,,2020-7-22,119,983,Ernakulam,12893,13806,
,241,,2020-7-3,26,186,Ernakulam,12945,13186,
,90,,2020-6-3,25,40,Ernakulam,15969,16059,
72393,1231,301,2020-12-27,90,8146,Ernakulam,28450,29681,80852
46406,1984,186,2020-11-14,141,9955,Ernakulam,29789,31773,56558
18880,2485,101,2020-10-14,188,11955,Ernakulam,30991,33476,30944
5363,1703,42,2020-9-8,159,2397,Ernakulam,19187,20890,7809
,30,,2020-3-13,1,0,Ernakulam,407,437,
,1315,,2020-8-8,150,1236,Ernakulam,10539,11854,
,33,,2020-3-24,4,17,Ernakulam,4347,4380,
,2,,2020-3-5,0,0,Ernakulam,127,129,
65438,1320,269,2020-12-15,77,7545,Ernakulam,29188,30508,73263
54661,1512,212,2020-11-26,118,8351,Ernakulam,25518,27030,63235
3743,1503,33,2020-8-29,187,1935,Ernakulam,16469,17972,5718
10266,2692,61,2020-9-29,250,6841,Ernakulam,23363,26055,17176
29425,2235,132,2020-10-26,310,11623,Ernakulam,29596,31831,41189
69222,1399,290,2020-12-22,117,8238,Ernakulam,29520,30919,77761
43891,2067,180,2020-11-11,162,10371,Ernakulam,30561,32628,54453
15916,2626,92,2020-10-11,406,12533,Ernakulam,30844,33470,28549
3925,1510,33,2020-8-30,146,1984,Ernakulam,16554,18064,5949
10529,2791,62,2020-9-30,329,7633,Ernakulam,23896,26687,18232
,270,,2020-7-6,25,207,Ernakulam,13070,13340,
,104,,2020-6-6,17,48,Ernakulam,18587,18691,
,217,,2020-6-27,12,167,Ernakulam,13357,13574,
,892,,2020-7-27,119,814,Ernakulam,12637,13529,
,295,,2020-7-10,31,229,Ernakulam,13172,13467,
,102,,2020-6-10,8,58,Ernakulam,22296,22398,
108252,1147,406,2021-2-16,75,9656,Ernakulam,29265,30412,118340
,23,,2020-3-21,1,12,Ernakulam,3451,3474,
,30,,2020-3-16,6,3,Ernakulam,650,680,
62534,1348,253,2020-12-10,107,7855,Ernakulam,27038,28386,70653
52654,1567,205,2020-11-23,101,8549,Ernakulam,24625,26192,61419
26675,2305,123,2020-10-23,224,11939,Ernakulam,29554,31859,38746
96801,1462,380,2021-1-31,135,10783,Ernakulam,25830,27292,107988
75193,1244,312,2021-1-1,113,8589,Ernakulam,27816,29060,84108
22690,2546,106,2020-10-18,300,11706,Ernakulam,30416,32962,34511
85926,1409,355,2021-1-17,124,9885,Ernakulam,23520,24929,96187
49045,1581,196,2020-11-18,137,9574,Ernakulam,29513,31094,58826
87710,1468,358,2021-1-20,191,10721,Ernakulam,24178,25646,98811
,19,,2020-4-26,1,2,Ernakulam,341,360,
,62,,2020-5-26,11,15,Ernakulam,9479,9541,
,31,,2020-5-11,16,3,Ernakulam,1802,1833,
,24,,2020-4-11,4,7,Ernakulam,2711,2735,
,25,,2020-3-30,7,14,Ernakulam,5502,5527,
,17,,2020-5-7,7,0,Ernakulam,472,489,
,33,,2020-4-7,2,14,Ernakulam,3024,3057,
58209,1323,234,2020-12-2,86,8055,Ernakulam,26205,27528,66509
67833,1375,276,2020-12-19,103,7987,Ernakulam,28744,30119,76107
35932,2272,156,2020-11-3,75,12056,Ernakulam,29377,31649,48155
11369,2918,72,2020-10-3,213,9684,Ernakulam,25945,28863,21133
2662,1330,30,2020-8-21,151,1700,Ernakulam,15764,17094,4400
8170,2072,54,2020-9-21,270,3621,Ernakulam,20191,22263,11852
6817,1753,50,2020-9-16,203,3060,Ernakulam,22076,23829,9934
,1112,,2020-8-16,82,1371,Ernakulam,13534,14646,
,1008,,2020-7-31,180,859,Ernakulam,11313,12321,
,1238,,2020-8-7,69,1197,Ernakulam,11022,12260,
5159,1754,39,2020-9-7,208,2286,Ernakulam,18987,20741,7491
9493,2434,59,2020-9-26,349,5296,Ernakulam,22303,24737,14856
3350,1421,33,2020-8-26,154,1845,Ernakulam,16291,17712,5235
,1179,,2020-8-11,114,1277,Ernakulam,11549,12728,
5647,1830,45,2020-9-11,178,2908,Ernakulam,21212,23042,8607
31572,2262,141,2020-10-29,172,12235,Ernakulam,30453,32715,43957
56589,1500,223,2020-11-29,83,8133,Ernakulam,27007,28507,64956
57766,1356,227,2020-12-1,102,7773,Ernakulam,27557,28913,65777
,40,,2020-5-21,14,9,Ernakulam,7025,7065,
,13,,2020-4-21,5,2,Ernakulam,140,153,
,21,,2020-4-16,1,4,Ernakulam,978,999,
,28,,2020-5-16,9,5,Ernakulam,4899,4927,
72929,1247,302,2020-12-28,135,7949,Ernakulam,28094,29341,81192
81610,1369,338,2021-1-10,105,8696,Ernakulam,25641,27010,90662
93747,1548,377,2021-1-27,103,10589,Ernakulam,25659,27207,104737
78343,1311,327,2021-1-6,158,9061,Ernakulam,25393,26704,87748
13897,2817,84,2020-10-9,275,12141,Ernakulam,29777,32594,26130
42055,2183,178,2020-11-9,193,10649,Ernakulam,30280,32463,52893
,32,,2020-3-26,5,15,Ernakulam,3463,3495,
,84,,2020-5-30,15,28,Ernakulam,12565,12649,
,16,,2020-4-30,8,1,Ernakulam,698,714,
,24,,2020-3-11,8,0,Ernakulam,280,304,
,4,,2020-3-7,0,0,Ernakulam,134,138,
50526,1597,200,2020-11-20,124,9066,Ernakulam,26793,28390,59803
24642,2380,113,2020-10-20,201,10989,Ernakulam,30113,32493,35753
64440,1314,264,2020-12-13,174,7588,Ernakulam,30307,31621,72303
61353,1285,250,2020-12-8,103,7767,Ernakulam,25518,26803,69381
102414,1380,393,2021-2-7,128,10208,Ernakulam,24250,25630,113041
105081,1340,398,2021-2-11,86,10025,Ernakulam,22924,24264,115530
44899,2073,183,2020-11-12,121,9849,Ernakulam,30019,32092,54942
16934,2479,95,2020-10-12,143,11992,Ernakulam,30953,33432,29029
68808,1434,287,2020-12-21,92,7969,Ernakulam,28259,29693,77075
,772,,2020-7-20,72,832,Ernakulam,13185,13957,
,162,,2020-6-20,21,117,Ernakulam,12625,12787,
,142,,2020-6-17,30,101,Ernakulam,11998,12140,
,565,,2020-7-17,83,641,Ernakulam,14257,14822,
,93,,2020-6-1,8,32,Ernakulam,13868,13961,
,254,,2020-7-1,41,191,Ernakulam,13723,13977,
,1244,,2020-8-19,225,1698,Ernakulam,15893,17137,
53854,1513,209,2020-11-25,195,8689,Ernakulam,24806,26319,62763
,2,,2020-3-2,0,0,Ernakulam,78,80,
28329,2283,131,2020-10-25,483,12263,Ernakulam,29682,31965,40732
7584,1988,53,2020-9-19,246,3372,Ernakulam,20970,22958,11016
66158,1301,270,2020-12-16,199,7783,Ernakulam,29495,30796,74222
,26,,2020-3-14,3,3,Ernakulam,500,526,
,29,,2020-3-23,8,16,Ernakulam,4201,4230,
,72,,2020-5-29,23,22,Ernakulam,11882,11954,
,18,,2020-4-29,1,1,Ernakulam,748,766,
,29,,2020-4-8,5,14,Ernakulam,3061,3090,
,17,,2020-5-8,10,1,Ernakulam,820,837,
48325,1759,192,2020-11-17,79,9411,Ernakulam,29654,31413,57939
,93,,2020-6-4,12,43,Ernakulam,16807,16900,
21383,2508,102,2020-10-17,236,12287,Ernakulam,29839,32347,33781
,259,,2020-7-4,46,191,Ernakulam,13033,13292,
70910,1328,295,2020-12-24,142,8041,Ernakulam,29202,30530,79258
,114,,2020-6-12,15,56,Ernakulam,24114,24228,
,367,,2020-7-12,67,329,Ernakulam,13365,13732,
,860,,2020-7-25,138,909,Ernakulam,11739,12599,
,201,,2020-6-25,18,147,Ernakulam,13086,13287,
86444,1406,355,2021-1-18,112,9941,Ernakulam,23688,25094,96761
107264,1232,403,2021-2-14,85,9611,Ernakulam,25216,26448,117304
98376,1427,390,2021-2-2,99,10375,Ernakulam,25533,26960,109167
,1263,,2020-8-14,159,1389,Ernakulam,12670,13933,
6237,1851,49,2020-9-14,147,3083,Ernakulam,21245,23096,9376
74599,1258,305,2020-12-31,147,8590,Ernakulam,29334,30592,83506
8674,2159,55,2020-9-23,201,4145,Ernakulam,20441,22600,12882
2932,1287,32,2020-8-23,117,1743,Ernakulam,16136,17423,4714
,1129,,2020-8-2,100,978,Ernakulam,11384,12513,
4268,1582,37,2020-9-2,121,2144,Ernakulam,16362,17944,6456
,23,,2020-3-19,6,3,Ernakulam,1085,1108,
38298,28841,163,2020-11-5,198,11629,Ernakulam,2285,31126,50101
12010,2941,79,2020-10-5,207,10693,Ernakulam,26795,29736,22790
76247,1220,318,2021-1-3,116,8998,Ernakulam,24678,25898,85579
84653,1377,352,2021-1-15,124,9348,Ernakulam,22525,23902,94374
32313,2247,143,2020-10-30,98,12166,Ernakulam,29883,32130,44631
,105,,2020-6-9,23,55,Ernakulam,21694,21799,
,290,,2020-7-9,35,213,Ernakulam,13586,13876,
57107,1482,225,2020-11-30,111,7930,Ernakulam,27090,28572,65273
59419,1327,238,2020-12-4,130,7768,Ernakulam,28670,29997,67436
,901,,2020-7-28,96,798,Ernakulam,12006,12907,
,215,,2020-6-28,14,173,Ernakulam,13651,13866,
,31,,2020-4-13,4,7,Ernakulam,2032,2063,
,33,,2020-5-13,14,3,Ernakulam,2481,2514,
,66,,2020-5-24,6,13,Ernakulam,8519,8585,
,22,,2020-4-24,9,2,Ernakulam,272,294,
,41,,2020-4-5,9,18,Ernakulam,1142,1183,
,11,,2020-5-5,7,0,Ernakulam,508,519,
11465,400,15,2020-12-18,40,3121,Idukki,7605,8005,14603
18906,507,32,2021-2-1,52,4623,Idukki,9533,10040,23566
1413,287,3,2020-8-31,28,329,Idukki,4175,4462,1746
2820,668,3,2020-10-2,49,1233,Idukki,10540,11208,4058
,27,,2020-6-7,4,23,Idukki,7328,7355,
5838,382,9,2020-11-2,48,1560,Idukki,10974,11356,7409
,55,,2020-7-7,6,53,Idukki,4513,4568,
,307,,2020-7-26,56,332,Idukki,4403,4710,
,55,,2020-6-26,5,50,Idukki,4376,4431,
,32,,2020-6-11,8,26,Idukki,8475,8507,
,102,,2020-7-11,15,96,Idukki,5616,5718,
18359,509,32,2021-1-30,50,4869,Idukki,9318,9827,23265
7884,395,11,2020-11-19,69,2067,Idukki,14274,14669,9964
4262,419,7,2020-10-19,82,1656,Idukki,11283,11702,5927
9733,416,12,2020-12-3,56,2645,Idukki,11404,11820,12392
,0,,2020-3-1,0,0,Idukki,3,3,
,1,,2020-3-20,0,1,Idukki,503,504,
,0,,2020-3-17,0,1,Idukki,374,374,
4512,436,7,2020-10-22,32,1643,Idukki,9758,10194,6164
8095,446,11,2020-11-22,40,2349,Idukki,14235,14681,10457
10538,360,13,2020-12-11,54,3012,Idukki,9313,9673,13565
,5,,2020-5-27,2,2,Idukki,4797,4802,
,15,,2020-4-27,7,14,Idukki,1370,1385,
,5,,2020-3-31,1,4,Idukki,2732,2737,
,8,,2020-4-10,0,3,Idukki,4364,4372,
,11,,2020-5-10,5,0,Idukki,1365,1376,
,8,,2020-4-6,0,7,Idukki,3715,3723,
,3,,2020-5-6,0,1,Idukki,1165,1168,
15306,491,27,2021-1-16,38,4554,Idukki,7152,7643,19892
15701,512,29,2021-1-21,61,5340,Idukki,7708,8220,21075
2094,476,3,2020-9-20,38,666,Idukki,7457,7933,2764
1059,297,3,2020-8-20,70,342,Idukki,3913,4210,1405
,1390,,2020-8-17,86,284,Idukki,6157,7547,
1902,491,3,2020-9-17,45,634,Idukki,6869,7360,2540
3475,447,5,2020-10-10,46,1438,Idukki,12296,12743,4920
6568,442,9,2020-11-10,37,1792,Idukki,14000,14442,8371
12312,385,15,2020-12-23,27,3074,Idukki,7880,8265,15404
,338,,2020-8-1,35,337,Idukki,3892,4230,
1427,278,3,2020-9-1,9,315,Idukki,4145,4423,1746
21043,447,36,2021-2-9,50,3972,Idukki,9274,9721,25056
16806,504,31,2021-1-24,41,5055,Idukki,8405,8909,21897
14891,458,26,2021-1-13,28,4298,Idukki,6683,7141,19219
14161,395,22,2021-1-5,25,3149,Idukki,6647,7042,17335
,39,,2020-6-19,4,35,Idukki,4227,4266,
,216,,2020-7-19,32,257,Idukki,6160,6376,
,10,,2020-4-3,4,7,Idukki,2936,2946,
4867,402,8,2020-10-27,24,1908,Idukki,10350,10752,6785
8720,472,12,2020-11-27,53,2531,Idukki,14991,15463,11265
,17,,2020-5-3,1,12,Idukki,1595,1612,
10845,334,14,2020-12-14,25,3096,Idukki,8619,8953,13957
,0,,2020-4-15,0,0,Idukki,3497,3497,
,4,,2020-5-15,1,1,Idukki,2198,2202,
,7,,2020-5-22,2,2,Idukki,3824,3831,
,3,,2020-4-22,0,1,Idukki,1438,1441,
3962,455,6,2020-10-15,55,1503,Idukki,12382,12837,5473
7143,445,10,2020-11-15,80,2085,Idukki,13097,13542,9240
12661,387,16,2020-12-26,35,3158,Idukki,7948,8335,15838
,321,,2020-8-4,27,301,Idukki,3820,4141,
1517,252,3,2020-9-4,52,310,Idukki,4165,4417,1831
,4,,2020-3-28,1,2,Idukki,1921,1925,
,219,,2020-8-12,6,239,Idukki,3605,3824,
1746,357,3,2020-9-12,27,483,Idukki,6186,6543,2233
,1,,2020-3-9,1,0,Idukki,37,38,
2358,640,3,2020-9-25,113,869,Idukki,7855,8495,3232
1227,264,3,2020-8-25,17,299,Idukki,3991,4255,1530
,4,,2020-4-18,3,0,Idukki,2445,2449,
,5,,2020-5-18,1,1,Idukki,2936,2941,
3251,437,5,2020-10-7,38,1249,Idukki,11762,12199,4507
6321,422,9,2020-11-7,74,1729,Idukki,13109,13531,8061
,31,,2020-6-14,5,25,Idukki,9432,9463,
,121,,2020-7-14,6,115,Idukki,5749,5870,
,302,,2020-7-23,46,356,Idukki,4545,4847,
,58,,2020-6-23,5,49,Idukki,4298,4356,
,11,,2020-6-2,3,8,Idukki,6020,6031,
,42,,2020-7-2,5,42,Idukki,4396,4438,
18205,514,32,2021-1-29,34,4842,Idukki,9278,9792,23084
14450,427,24,2021-1-8,44,3712,Idukki,6018,6445,18190
19168,490,33,2021-2-4,28,5018,Idukki,9720,10210,24224
22202,438,36,2021-2-12,48,3377,Idukki,9111,9549,25620
,272,,2020-8-9,22,279,Idukki,3726,3998,
,0,,2020-3-12,0,0,Idukki,61,61,
1664,292,3,2020-9-9,55,346,Idukki,5289,5581,2014
,3,,2020-3-25,1,1,Idukki,1221,1224,
,0,,2020-3-4,0,0,Idukki,9,9,
2552,656,3,2020-9-28,65,1021,Idukki,8891,9547,3578
1304,298,3,2020-8-28,34,361,Idukki,4122,4420,1669
9994,1331,12,2020-12-6,114,2926,Idukki,27020,28351,12934
1975,508,3,2020-9-18,93,661,Idukki,7037,7545,2640
,0,,2020-3-3,0,0,Idukki,8,8,
,1418,,2020-8-18,139,229,Idukki,6287,7705,
,0,,2020-3-15,0,1,Idukki,75,75,
,3,,2020-3-22,3,1,Idukki,597,600,
9930,415,12,2020-12-5,35,2821,Idukki,11200,11615,12765
5407,393,9,2020-10-31,44,1783,Idukki,10842,11235,7201
15495,516,29,2021-1-19,38,4908,Idukki,7346,7862,20437
22736,339,36,2021-2-15,28,3232,Idukki,9048,9387,26009
19052,504,33,2021-2-3,28,4865,Idukki,9639,10143,23955
3015,558,4,2020-10-4,43,1239,Idukki,11007,11565,4260
6004,359,9,2020-11-4,35,1665,Idukki,11822,12181,7680
,23,,2020-4-28,8,13,Idukki,1439,1462,
,8,,2020-5-28,3,3,Idukki,5011,5019,
,11,,2020-5-9,10,0,Idukki,1320,1331,
,8,,2020-4-9,1,3,Idukki,4315,4323,
13313,308,17,2020-12-30,29,3009,Idukki,7474,7782,16342
,44,,2020-7-5,3,47,Idukki,4145,4189,
,24,,2020-6-5,4,20,Idukki,6649,6673,
,115,,2020-7-13,15,116,Idukki,5706,5821,
,27,,2020-6-13,2,26,Idukki,9101,9128,
,60,,2020-6-24,7,53,Idukki,4329,4389,
,271,,2020-7-24,67,289,Idukki,4420,4691,
12607,369,16,2020-12-25,29,3145,Idukki,7960,8329,15771
4015,497,7,2020-10-16,45,1573,Idukki,12697,13194,5597
7426,456,11,2020-11-16,40,1884,Idukki,13251,13707,9323
1834,465,3,2020-9-15,72,522,Idukki,6576,7041,2360
,267,,2020-8-15,63,288,Idukki,3867,4134,
1123,286,3,2020-8-22,24,349,Idukki,3914,4200,1476
2173,560,3,2020-9-22,74,710,Idukki,7878,8438,2888
,0,,2020-3-18,0,1,Idukki,442,442,
1491,230,3,2020-9-3,6,307,Idukki,4145,4375,1802
,321,,2020-8-3,47,330,Idukki,3930,4251,
,56,,2020-7-8,1,72,Idukki,4822,4878,
,26,,2020-6-8,0,23,Idukki,10537,10563,
,51,,2020-6-29,5,51,Idukki,4427,4478,
,351,,2020-7-29,11,366,Idukki,4126,4477,
,12,,2020-5-12,0,0,Idukki,1259,1271,
,3,,2020-4-12,1,0,Idukki,4028,4031,
,9,,2020-4-25,0,4,Idukki,1327,1336,
,9,,2020-5-25,1,2,Idukki,4411,4420,
,17,,2020-5-4,0,1,Idukki,1598,1615,
11331,382,15,2020-12-17,35,3142,Idukki,7496,7878,14490
,8,,2020-4-4,1,7,Idukki,3129,3137,
4638,423,7,2020-10-24,36,1858,Idukki,9737,10160,6505
8281,454,11,2020-11-24,28,2334,Idukki,14468,14922,10628
13815,306,20,2021-1-2,25,3024,Idukki,7407,7713,16862
16481,488,30,2021-1-23,39,5061,Idukki,8163,8651,21577
14932,490,27,2021-1-14,48,4458,Idukki,6924,7414,19421
10241,365,13,2020-12-9,10,2954,Idukki,9716,10081,13210
,54,,2020-6-30,6,49,Idukki,4421,4475,
,349,,2020-7-30,33,341,Idukki,3930,4279,
11655,401,15,2020-12-20,39,3327,Idukki,7590,7991,14999
1596,234,3,2020-9-6,35,301,Idukki,4533,4767,1901
3683,449,6,2020-10-13,47,1525,Idukki,13066,13515,5216
,280,,2020-8-6,42,311,Idukki,4005,4285,
6987,444,9,2020-11-13,29,1970,Idukki,13441,13885,8968
1268,301,3,2020-8-27,69,348,Idukki,3952,4253,1620
2516,630,3,2020-9-27,92,943,Idukki,8755,9385,3464
1679,340,3,2020-9-10,65,436,Idukki,5586,5926,2119
,286,,2020-8-10,23,291,Idukki,3562,3848,
6414,451,9,2020-11-8,56,1815,Idukki,13452,13903,8240
3320,465,5,2020-10-8,72,1301,Idukki,12207,12672,4628
14766,464,25,2021-1-11,51,3967,Idukki,6784,7248,18762
17317,514,31,2021-1-26,54,4845,Idukki,8711,9225,22198
14351,422,23,2021-1-7,27,3512,Idukki,5642,6064,17889
10698,350,13,2020-12-12,55,2975,Idukki,8799,9149,13688
4418,427,7,2020-10-21,26,1672,Idukki,10712,11139,6099
8018,452,11,2020-11-21,58,2206,Idukki,14940,15392,10237
,24,,2020-5-1,0,14,Idukki,1613,1637,
,6,,2020-4-1,1,4,Idukki,2815,2821,
,4,,2020-4-20,0,0,Idukki,1946,1950,
,5,,2020-5-20,3,1,Idukki,3338,3343,
,4,,2020-5-17,0,1,Idukki,2746,2750,
,1,,2020-4-17,1,0,Idukki,2896,2897,
,5,,2020-3-27,2,2,Idukki,1533,1538,
,1,,2020-3-10,0,0,Idukki,45,46,
,12,,2020-5-31,3,7,Idukki,5658,5670,
,0,,2020-3-6,0,0,Idukki,10,10,
13091,331,16,2020-12-29,26,3028,Idukki,7596,7927,16138
,47,,2020-6-21,6,47,Idukki,4268,4315,
,278,,2020-7-21,20,274,Idukki,5218,5496,
,173,,2020-7-16,60,187,Idukki,5949,6122,
,37,,2020-6-16,3,27,Idukki,3944,3981,
2727,706,3,2020-10-1,73,1190,Idukki,10221,10927,3922
5760,361,9,2020-11-1,27,1578,Idukki,10760,11121,7349
19756,478,35,2021-2-6,38,4827,Idukki,9375,9853,24623
8830,469,12,2020-11-28,47,2599,Idukki,13920,14389,11443
21428,433,36,2021-2-10,33,3766,Idukki,9320,9753,25235
4957,411,8,2020-10-28,24,1933,Idukki,10644,11055,6900
,189,,2020-7-18,13,214,Idukki,6077,6266,
,37,,2020-6-18,2,33,Idukki,4190,4227,
10113,366,12,2020-12-7,86,2953,Idukki,10969,11335,13080
,17,,2020-5-2,0,12,Idukki,1628,1645,
,7,,2020-4-2,1,9,Idukki,2829,2836,
,3,,2020-5-14,1,1,Idukki,1443,1446,
,0,,2020-4-14,0,0,Idukki,3674,3674,
,4,,2020-4-23,1,4,Idukki,1332,1336,
,9,,2020-5-23,5,2,Idukki,4108,4117,
20655,474,35,2021-2-8,51,4261,Idukki,9204,9678,24956
17163,516,31,2021-1-25,27,4815,Idukki,8604,9120,22014
14840,455,25,2021-1-12,38,4066,Idukki,6793,7248,18935
14021,397,21,2021-1-4,42,3159,Idukki,6601,6998,17204
6221,1184,9,2020-11-6,82,1721,Idukki,14586,15770,7953
1577,221,3,2020-9-5,34,281,Idukki,4357,4578,1862
3162,495,4,2020-10-6,23,1219,Idukki,11429,11924,4387
,265,,2020-8-5,5,273,Idukki,3916,4181,
,6,,2020-3-29,3,2,Idukki,2259,2265,
,0,,2020-3-8,0,0,Idukki,12,12,
1766,414,3,2020-9-13,80,503,Idukki,6387,6801,2273
,234,,2020-8-13,48,248,Idukki,3680,3914,
1190,285,3,2020-8-24,28,330,Idukki,4017,4302,1524
2289,597,3,2020-9-24,78,824,Idukki,7254,7851,3118
17976,529,32,2021-1-28,47,4769,Idukki,8983,9512,22782
14520,457,24,2021-1-9,58,3864,Idukki,6354,6811,18412
19498,489,33,2021-2-5,50,4920,Idukki,9568,10057,24456
22421,447,36,2021-2-13,47,3361,Idukki,9330,9777,25823
,5,,2020-5-19,0,1,Idukki,3116,3121,
,4,,2020-4-19,1,0,Idukki,2181,2185,
,118,,2020-7-15,4,166,Idukki,5899,6017,
,36,,2020-6-15,7,27,Idukki,3926,3962,
,53,,2020-6-22,9,49,Idukki,4310,4363,
,278,,2020-7-22,2,315,Idukki,4851,5129,
,44,,2020-7-3,6,42,Idukki,4367,4411,
,11,,2020-6-3,2,17,Idukki,6256,6267,
12739,385,16,2020-12-27,50,3161,Idukki,7707,8092,15919
7073,435,10,2020-11-14,26,1990,Idukki,13483,13918,9075
3838,459,6,2020-10-14,40,1484,Idukki,13230,13689,5330
1640,263,3,2020-9-8,54,346,Idukki,5111,5374,1990
,0,,2020-3-13,0,0,Idukki,52,52,
,284,,2020-8-8,47,297,Idukki,3784,4068,
,5,,2020-3-24,2,0,Idukki,1118,1123,
,0,,2020-3-5,0,0,Idukki,9,9,
10917,372,14,2020-12-15,66,3128,Idukki,8249,8621,14061
8546,475,12,2020-11-26,57,2562,Idukki,14981,15456,11122
1345,297,3,2020-8-29,45,347,Idukki,4163,4460,1696
2636,654,3,2020-9-29,89,994,Idukki,9478,10132,3635
4795,441,7,2020-10-26,57,1932,Idukki,10127,10568,6736
12107,386,15,2020-12-22,57,3038,Idukki,7848,8234,15162
6659,442,9,2020-11-11,36,1926,Idukki,13967,14409,8596
3525,437,5,2020-10-11,40,1511,Idukki,12552,12989,5043
1390,284,3,2020-8-30,35,337,Idukki,4343,4627,1731
2657,700,3,2020-9-30,57,1130,Idukki,9532,10232,3792
,51,,2020-7-6,9,53,Idukki,4100,4151,
,28,,2020-6-6,5,22,Idukki,6880,6908,
,56,,2020-6-27,6,48,Idukki,4275,4331,
,312,,2020-7-27,31,377,Idukki,4284,4596,
,94,,2020-7-10,25,95,Idukki,5539,5633,
