recovered,total_hospitalized,deaths,date,hospitalized_today,active,district,isolation,observation,confirmed
24971,251,93,2021-2-6,13,1868,Kasaragod,6345,6596,26938
19835,385,75,2020-11-28,19,1776,Kasaragod,7511,7896,21690
25371,234,93,2021-2-10,25,1773,Kasaragod,6670,6904,27244
15815,616,69,2020-10-28,15,2274,Kasaragod,4109,4725,18162
,298,,2020-7-18,32,316,Kasaragod,5648,5946,
,97,,2020-6-18,8,92,Kasaragod,3585,3682,
20668,287,77,2020-12-7,6,1807,Kasaragod,7213,7500,22556
,30,,2020-5-2,8,5,Kasaragod,1734,1764,
,177,,2020-4-2,21,114,Kasaragod,10055,10232,
,217,,2020-5-14,35,14,Kasaragod,1211,1428,
,184,,2020-4-14,4,84,Kasaragod,9457,9641,
,56,,2020-4-23,2,19,Kasaragod,3070,3126,
,32,,2020-5-23,2,23,Kasaragod,4589,4621,
25120,241,93,2021-2-8,17,1841,Kasaragod,6671,6912,27061
24069,255,93,2021-1-25,28,1752,Kasaragod,5981,6236,25919
23273,210,89,2021-1-12,6,1552,Kasaragod,5301,5511,24918
22713,185,87,2021-1-4,8,1586,Kasaragod,3724,3909,24390
17127,1377,71,2020-11-6,216,2258,Kasaragod,67974,69351,19460
4069,858,30,2020-9-5,150,1786,Kasaragod,5123,5981,5888
8865,1182,58,2020-10-6,63,3963,Kasaragod,3404,4586,12890
,859,,2020-8-5,81,889,Kasaragod,3303,4162,
,127,,2020-3-29,10,80,Kasaragod,6915,7042,
,1,,2020-3-8,0,0,Kasaragod,55,56,
5044,1113,36,2020-9-13,79,2109,Kasaragod,4130,5243,7192
,957,,2020-8-13,53,1072,Kasaragod,4188,5145,
2891,720,23,2020-8-24,47,1175,Kasaragod,4568,5288,4092
6967,772,41,2020-9-24,51,2134,Kasaragod,3194,3966,9145
24307,242,93,2021-1-28,13,1766,Kasaragod,5609,5851,26172
23068,210,87,2021-1-9,20,1610,Kasaragod,4265,4475,24769
24879,250,93,2021-2-5,23,1898,Kasaragod,6170,6420,26876
25531,275,94,2021-2-13,18,1993,Kasaragod,6756,7031,27625
,33,,2020-5-19,1,16,Kasaragod,3629,3662,
,103,,2020-4-19,2,42,Kasaragod,5091,5194,
,211,,2020-7-15,40,282,Kasaragod,6085,6296,
,107,,2020-6-15,6,101,Kasaragod,3431,3538,
,93,,2020-6-22,6,102,Kasaragod,4806,4899,
,407,,2020-7-22,41,462,Kasaragod,4515,4922,
,89,,2020-7-3,8,78,Kasaragod,6812,6901,
,104,,2020-6-3,7,86,Kasaragod,7084,7188,
22143,248,83,2020-12-27,6,1662,Kasaragod,4353,4601,23892
18264,445,73,2020-11-14,25,1997,Kasaragod,5553,5998,20338
11503,941,64,2020-10-14,37,3976,Kasaragod,3683,4624,15547
4366,1076,31,2020-9-8,61,2006,Kasaragod,5503,6579,6406
,10,,2020-3-13,5,0,Kasaragod,195,205,
,1009,,2020-8-8,165,1057,Kasaragod,3495,4504,
,85,,2020-3-24,24,41,Kasaragod,2651,2736,
,0,,2020-3-5,0,0,Kasaragod,42,42,
21331,264,79,2020-12-15,1,1623,Kasaragod,7350,7614,23037
19649,364,75,2020-11-26,24,1729,Kasaragod,6859,7223,21457
3348,742,24,2020-8-29,84,1503,Kasaragod,4856,5598,4878
7569,924,52,2020-9-29,33,2839,Kasaragod,3409,4333,10464
15266,620,68,2020-10-26,25,2556,Kasaragod,4360,4980,17894
21823,283,81,2020-12-22,5,1687,Kasaragod,5415,5698,23595
17926,428,73,2020-11-11,22,2007,Kasaragod,5212,5640,20010
10393,1308,63,2020-10-11,90,4245,Kasaragod,4022,5330,14705
3459,802,25,2020-8-30,105,1550,Kasaragod,5416,6218,5037
7729,1046,53,2020-9-30,143,2999,Kasaragod,3366,4412,10785
,109,,2020-7-6,28,104,Kasaragod,7084,7193,
,106,,2020-6-6,3,99,Kasaragod,7882,7988,
,111,,2020-6-27,3,111,Kasaragod,5773,5884,
,657,,2020-7-27,107,643,Kasaragod,3672,4329,
,113,,2020-7-10,10,123,Kasaragod,6599,6712,
,100,,2020-6-10,5,91,Kasaragod,8699,8799,
25756,275,94,2021-2-16,8,2010,Kasaragod,7181,7456,27867
,15,,2020-3-21,9,14,Kasaragod,650,665,
,5,,2020-3-16,3,1,Kasaragod,291,296,
21041,260,78,2020-12-10,15,1674,Kasaragod,6939,7199,22797
19428,363,75,2020-11-23,27,1662,Kasaragod,6594,6957,21169
14338,819,65,2020-10-23,48,3086,Kasaragod,4037,4856,17493
24485,283,93,2021-1-31,19,1880,Kasaragod,5858,6141,26464
22462,221,84,2021-1-1,16,1689,Kasaragod,3931,4152,24239
12820,736,64,2020-10-18,59,3735,Kasaragod,4133,4869,16623
23597,246,90,2021-1-17,33,1658,Kasaragod,6195,6441,25350
18805,443,74,2020-11-18,29,1786,Kasaragod,5757,6200,20669
23747,256,91,2021-1-20,20,1669,Kasaragod,6359,6615,25512
,32,,2020-4-26,2,14,Kasaragod,2165,2197,
,42,,2020-5-26,13,35,Kasaragod,4823,4865,
,172,,2020-5-11,71,4,Kasaragod,1025,1197,
,263,,2020-4-11,13,123,Kasaragod,10337,10600,
,134,,2020-3-30,9,97,Kasaragod,7303,7437,
,29,,2020-5-7,19,1,Kasaragod,947,976,
,231,,2020-4-7,14,131,Kasaragod,10856,11087,
20195,352,75,2020-12-2,37,1815,Kasaragod,7668,8020,22089
21656,272,81,2020-12-19,12,1645,Kasaragod,5676,5948,23386
16879,555,70,2020-11-3,38,2033,Kasaragod,3913,4468,18986
8305,1093,57,2020-10-3,131,3623,Kasaragod,3514,4607,11989
2724,612,20,2020-8-21,53,1023,Kasaragod,4742,5354,3770
6286,1103,41,2020-9-21,102,2182,Kasaragod,3747,4850,8512
5511,950,37,2020-9-16,75,1988,Kasaragod,4107,5057,7539
,1006,,2020-8-16,53,971,Kasaragod,4062,5068,
,676,,2020-7-31,26,595,Kasaragod,2845,3521,
,953,,2020-8-7,147,1017,Kasaragod,3469,4422,
4274,1042,31,2020-9-7,233,1932,Kasaragod,4962,6004,6240
7151,829,47,2020-9-26,95,2436,Kasaragod,3530,4359,9637
3026,710,23,2020-8-26,66,1240,Kasaragod,4720,5430,4292
,1027,,2020-8-11,73,1003,Kasaragod,3817,4844,
4762,1210,36,2020-9-11,60,2117,Kasaragod,4729,5939,6918
15986,529,69,2020-10-29,48,2290,Kasaragod,4212,4741,18349
19945,381,75,2020-11-29,37,1788,Kasaragod,7906,8287,21812
20163,350,75,2020-12-1,12,1739,Kasaragod,7628,7978,21981
,34,,2020-5-21,2,15,Kasaragod,4115,4149,
,52,,2020-4-21,7,25,Kasaragod,4567,4619,
,114,,2020-4-16,14,57,Kasaragod,8266,8380,
,262,,2020-5-16,61,13,Kasaragod,2398,2660,
22179,241,84,2020-12-28,8,1662,Kasaragod,4312,4553,23929
23126,218,88,2021-1-10,16,1594,Kasaragod,4617,4835,24812
24261,239,93,2021-1-27,17,1728,Kasaragod,5778,6017,26088
22796,194,87,2021-1-6,20,1638,Kasaragod,3704,3898,24525
9592,1378,61,2020-10-9,69,4267,Kasaragod,3916,5294,13924
17580,465,71,2020-11-9,44,2133,Kasaragod,4510,4975,19788
,100,,2020-3-26,7,42,Kasaragod,4698,4798,
,85,,2020-5-30,9,67,Kasaragod,5649,5734,
,31,,2020-4-30,6,9,Kasaragod,1733,1764,
,3,,2020-3-11,3,0,Kasaragod,121,124,
,1,,2020-3-7,0,0,Kasaragod,51,52,
19085,398,74,2020-11-20,41,1789,Kasaragod,6018,6416,20952
13522,755,65,2020-10-20,23,3297,Kasaragod,3780,4535,16888
21233,276,79,2020-12-13,15,1686,Kasaragod,7468,7744,23002
20823,256,78,2020-12-8,1,1730,Kasaragod,7235,7491,22635
25038,250,93,2021-2-7,15,1888,Kasaragod,6660,6910,27025
25420,245,93,2021-2-11,18,1826,Kasaragod,6942,7187,27346
17962,442,73,2020-11-12,35,2079,Kasaragod,5374,5816,20118
10738,1183,63,2020-10-12,62,4195,Kasaragod,3834,5017,15000
21724,298,81,2020-12-21,23,1714,Kasaragod,5491,5789,23523
,347,,2020-7-20,54,374,Kasaragod,4838,5185,
,95,,2020-6-20,4,98,Kasaragod,4218,4313,
,101,,2020-6-17,2,101,Kasaragod,3540,3641,
,277,,2020-7-17,18,296,Kasaragod,5989,6266,
,93,,2020-6-1,13,89,Kasaragod,6014,6107,
,105,,2020-7-1,9,107,Kasaragod,7096,7201,
,652,,2020-8-19,38,895,Kasaragod,4467,5119,
19590,356,75,2020-11-25,28,1702,Kasaragod,6941,7297,21371
,1,,2020-3-2,0,0,Kasaragod,21,22,
15064,698,66,2020-10-25,58,2696,Kasaragod,4272,4970,17830
5947,1103,40,2020-9-19,55,2204,Kasaragod,3813,4916,8194
21460,247,80,2020-12-16,3,1553,Kasaragod,6673,6920,23097
,6,,2020-3-14,0,0,Kasaragod,229,235,
,61,,2020-3-23,20,35,Kasaragod,796,857,
,77,,2020-5-29,15,64,Kasaragod,5466,5543,
,29,,2020-4-29,1,12,Kasaragod,1901,1930,
,254,,2020-4-8,40,132,Kasaragod,10547,10801,
,67,,2020-5-8,40,1,Kasaragod,885,952,
18620,469,74,2020-11-17,14,1862,Kasaragod,5769,6238,20560
,98,,2020-6-4,3,98,Kasaragod,7473,7571,
12595,820,64,2020-10-17,50,3709,Kasaragod,4014,4834,16372
,83,,2020-7-4,2,86,Kasaragod,6737,6820,
22022,252,83,2020-12-24,11,1638,Kasaragod,4975,5227,23747
,103,,2020-6-12,10,98,Kasaragod,9278,9381,
,139,,2020-7-12,21,189,Kasaragod,6374,6513,
,519,,2020-7-25,100,584,Kasaragod,3961,4480,
,103,,2020-6-25,5,104,Kasaragod,5609,5712,
23614,263,90,2021-1-18,18,1676,Kasaragod,6353,6616,25385
25580,294,94,2021-2-14,30,2016,Kasaragod,7158,7452,27697
24598,254,93,2021-2-2,3,1891,Kasaragod,5733,5987,26588
,987,,2020-8-14,46,1066,Kasaragod,4184,5171,
5174,1048,37,2020-9-14,34,2034,Kasaragod,4240,5288,7248
22434,207,84,2020-12-31,11,1637,Kasaragod,4013,4220,24159
6809,948,41,2020-9-23,77,1992,Kasaragod,3114,4062,8845
2808,708,20,2020-8-23,97,1143,Kasaragod,4628,5336,3974
,720,,2020-8-2,151,796,Kasaragod,3262,3982,
3752,791,28,2020-9-2,9,1460,Kasaragod,5597,6388,5243
